date,type,category,vendor,description,amount_thb,amount_usd,currency,source_file,notes
2025-12-15,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-4200.0,-131.25,THB,supplier_invoices.csv,inv INV1027
2025-12-15,expense,Rent & Utilities,,Electricity,-8400,-262.5,THB,rent_utilities.txt,
2025-12-15,expense,Rent & Utilities,,Water,-800,-25.0,THB,rent_utilities.txt,avg
2025-12-15,expense,Rent & Utilities,TOT,Internet,-1290,-40.31,THB,rent_utilities.txt,
2025-12-17,expense,Other,GreenLeaf Pastry,Mixed pastries,-4200.0,-131.25,THB,supplier_invoices.csv,inv INV1028
2025-12-18,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-4640.0,-145.0,THB,supplier_invoices.csv,inv INV1029
2025-12-21,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Latte/L,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-22,expense,Coffee Beans,Beans Doi Chaang 8kg,Beans Doi Chaang 8kg,-4960.0,-155.0,THB,expenses_2025.csv,
2025-12-22,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3500.0,-109.38,THB,supplier_invoices.csv,inv INV1030
2025-12-24,expense,Other,GreenLeaf Pastry,Mixed pastries,-4260.0,-133.12,THB,supplier_invoices.csv,inv INV1031
2025-12-25,income,Sales,,Americano/L,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Americano,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Cappuccino,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-12-28,expense,Other,,Cleaning supplies,-1650.0,-51.56,THB,expenses_2025.csv,
2025-12-29,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3920.0,-122.5,THB,supplier_invoices.csv,inv INV1032
2025-12-31,expense,Other,GreenLeaf Pastry,Mixed pastries,-3900.0,-121.88,THB,supplier_invoices.csv,inv INV1033
2026-01-01,expense,Payroll,,Payroll — Pim (s001),-20000.0,-625.0,THB,staff_payroll.csv,
2026-01-01,expense,Payroll,,Payroll — Niran (s002),-18500.0,-578.12,THB,staff_payroll.csv,
2026-01-01,expense,Payroll,,Payroll — Maya (s003),-19500.0,-609.38,THB,staff_payroll.csv,cash extra ฿2000 (เงินสด)
2026-01-01,expense,Payroll,,Payroll — Boom (s004),-18000.0,-562.5,THB,staff_payroll.csv,
2026-01-02,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Mocha,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Espresso/S,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-03,expense,Coffee Beans,Beans Doi Chaang 8kg,Beans Doi Chaang 8kg,-4960.0,-155.0,THB,expenses_2025.csv,
2026-01-05,expense,Dairy & Pastry,,Milk weekly,-4400.0,-137.5,THB,expenses_2025.csv,
2026-01-05,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-6200.0,-193.75,THB,supplier_invoices.csv,inv INV1034
2026-01-05,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3640.0,-113.75,THB,supplier_invoices.csv,inv INV1035
2026-01-05,expense,Rent & Utilities,NK Property,Monthly rent,-45000,-1406.25,THB,rent_utilities.txt,
2026-01-07,expense,Other,GreenLeaf Pastry,Mixed pastries,-4140.0,-129.38,THB,supplier_invoices.csv,inv INV1036
2026-01-08,expense,Other,,La Marzocco gasket kit,-4640.0,-145.0,USD,expenses_2025.csv,FX 1 USD = 32 THB
2026-01-10,income,Sales,,Americano,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Latte,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Americano,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,expense,Dairy & Pastry,,Pastry order,-4200.0,-131.25,THB,expenses_2025.csv,
2026-01-12,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3430.0,-107.19,THB,supplier_invoices.csv,inv INV1037
2026-01-13,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Almond Croissant,77.0,2.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Cinnamon Roll,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Mocha,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,income,Sales,,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-14,expense,Other,GreenLeaf Pastry,Mixed pastries,-3840.0,-120.0,THB,supplier_invoices.csv,inv INV1038
2026-01-15,expense,Other,,Cleaning supplies,-1900.0,-59.38,THB,expenses_2025.csv,
2026-01-15,expense,Rent & Utilities,,Electricity,-7900,-246.88,THB,rent_utilities.txt,
2026-01-15,expense,Rent & Utilities,,Water,-800,-25.0,THB,rent_utilities.txt,avg
2026-01-15,expense,Rent & Utilities,TOT,Internet,-1290,-40.31,THB,rent_utilities.txt,
2026-01-18,expense,Coffee Beans,Beans Doi Chaang 10kg,Beans Doi Chaang 10kg,-6200.0,-193.75,THB,expenses_2025.csv,
2026-01-18,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-4960.0,-155.0,THB,supplier_invoices.csv,inv INV1039
2026-01-19,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-4200.0,-131.25,THB,supplier_invoices.csv,inv INV1040
2026-01-21,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,income,Sales,,Croissant,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,income,Sales,,Latte/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,expense,Other,GreenLeaf Pastry,Mixed pastries,-4500.0,-140.62,THB,supplier_invoices.csv,inv INV1041
2026-01-22,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Croissant,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,expense,Coffee Beans,,Imported beans Ethiopia (Bunna Co.),-8960.0,-280.0,USD,expenses_2025.csv,FX 1 USD = 32 THB
2026-01-25,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Almond Croissant,77.0,2.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-01-25,expense,Other,,Marketing IG ads,-3000.0,-93.75,THB,expenses_2025.csv,
2026-01-26,income,Sales,,Almond Croissant,77.0,2.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-01-26,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3500.0,-109.38,THB,supplier_invoices.csv,inv INV1042
2026-01-28,expense,Dairy & Pastry,,Milk weekly,-4400.0,-137.5,THB,expenses_2025.csv,
2026-01-28,expense,Other,GreenLeaf Pastry,Mixed pastries,-3780.0,-118.12,THB,supplier_invoices.csv,inv INV1043
2026-01-31,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Croissant,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Mocha/M,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Cappuccino,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Espresso/S,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-31,income,Sales,,Latte/L,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-01,expense,Payroll,,Payroll — Pim (s001),-19000.0,-593.75,THB,staff_payroll.csv,
2026-02-01,expense,Payroll,,Payroll — Niran (s002),-17000.0,-531.25,THB,staff_payroll.csv,
2026-02-01,expense,Payroll,,Payroll — Maya (s003),-19000.0,-593.75,THB,staff_payroll.csv,cash extra ฿2500 (เงินสด)
2026-02-01,expense,Payroll,,Payroll — Boom (s004),-17000.0,-531.25,THB,staff_payroll.csv,
2026-02-02,expense,Coffee Beans,Doi Chaang Coffee,Doi Chaang Coffee,-6800.0,-212.5,THB,expenses_2025.csv,10kg @ 680
2026-02-02,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-4200.0,-131.25,THB,supplier_invoices.csv,inv INV1044
2026-02-04,expense,Other,GreenLeaf Pastry,Mixed pastries,-4140.0,-129.38,THB,supplier_invoices.csv,inv INV1045
2026-02-05,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-05,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-05,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-05,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-05,income,Sales,,Cold Brew/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-02-05,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-02-05,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-05,expense,Dairy & Pastry,,Bangkok Dairy Co.,-4400.0,-137.5,THB,expenses_2025.csv,weekly milk
2026-02-05,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-3400.0,-106.25,THB,supplier_invoices.csv,inv INV1046
2026-02-05,expense,Rent & Utilities,NK Property,Monthly rent,-45000,-1406.25,THB,rent_utilities.txt,
2026-02-08,income,Sales,,Cinnamon Roll,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-08,expense,Dairy & Pastry,,GreenLeaf Pastry,-4500.0,-140.62,THB,expenses_2025.csv,weekly pastry
2026-02-09,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3150.0,-98.44,THB,supplier_invoices.csv,inv INV1047
2026-02-10,income,Sales,,Latte,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Latte/L,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-02-10,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-11,expense,Other,GreenLeaf Pastry,Mixed pastries,-3600.0,-112.5,THB,supplier_invoices.csv,inv INV1048
2026-02-12,income,Sales,,Iced Latte,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-02-12,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-02-12,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-12,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-02-12,income,Sales,,Latte/L,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-12,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-02-12,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Matcha Latte/M,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Latte,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-02-15,expense,Coffee Beans,Doi Chaang Coffee,Doi Chaang Coffee,-6800.0,-212.5,THB,expenses_2025.csv,10kg @ 680
2026-02-15,expense,Rent & Utilities,,Electricity,-7600,-237.5,THB,rent_utilities.txt,
2026-02-15,expense,Rent & Utilities,,Water,-800,-25.0,THB,rent_utilities.txt,avg
2026-02-15,expense,Rent & Utilities,TOT,Internet,-1290,-40.31,THB,rent_utilities.txt,
2026-02-16,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3290.0,-102.81,THB,supplier_invoices.csv,inv INV1049
2026-02-18,expense,Other,,Cleaning Plus,-1900.0,-59.38,THB,expenses_2025.csv,
2026-02-18,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-5440.0,-170.0,THB,supplier_invoices.csv,inv INV1050
2026-02-18,expense,Other,GreenLeaf Pastry,Mixed pastries,-3480.0,-108.75,THB,supplier_invoices.csv,inv INV1051
2026-02-21,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Cappuccino,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Mocha,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-02-21,income,Sales,,Latte,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2026-02-22,income,Sales,,Americano,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
