date,type,category,vendor_or_party,description,amount_thb,amount_usd,currency_original,source_file,notes
2025-11-15,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,expense,Rent & Utilities,City Water,Water,-800,-25.0,THB,rent_utilities.txt,avg
2025-11-15,expense,Rent & Utilities,City Power,Electric,-6800,-212.5,THB,rent_utilities.txt,
2025-11-15,expense,Rent & Utilities,FastNet,Internet,-1290,-40.31,THB,rent_utilities.txt,
2025-11-15,expense,Rent & Utilities,Govt,Property tax (annual),-18000,-562.5,THB,rent_utilities.txt,annual
2025-11-16,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-5000.0,-156.25,THB,bank_statement_abc.csv,owner cash withdrawal
2025-11-16,expense,Rent & Utilities,CITY POWER ELECTRIC,CITY POWER ELECTRIC,-9100.0,-284.38,THB,bank_statement_abc.csv,
2025-11-17,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1017 Whole milk (litres),-3500.0,-109.38,THB,supplier_invoices.csv,paid
2025-11-18,expense,Dairy & Pastry,,Pastry order,-4100.0,-128.12,THB,expenses_2025.csv,
2025-11-18,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,expense,Coffee Beans,Highland Beans Co.,INV1018 Specialty coffee beans,-4640.0,-145.0,THB,supplier_invoices.csv,paid
2025-11-19,expense,Dairy & Pastry,GreenLeaf Pastry,INV1019 Mixed pastries,-4020.0,-125.62,THB,supplier_invoices.csv,paid
2025-11-23,transfer,Other,TFR 20251123 TRANSFER 0866667788,TFR 20251123 TRANSFER 0866667788,-4640.0,-145.0,THB,bank_statement_abc.csv,outgoing transfer
2025-11-24,transfer,Other,TFR 20251124 TRANSFER 0866667788,TFR 20251124 TRANSFER 0866667788,-4400.0,-137.5,THB,bank_statement_abc.csv,outgoing transfer
2025-11-24,expense,Rent & Utilities,FASTNET INTERNET,FASTNET INTERNET,-7600.0,-237.5,THB,bank_statement_abc.csv,
2025-11-24,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1020 Whole milk (litres),-3360.0,-105.0,THB,supplier_invoices.csv,paid
2025-11-25,expense,Other,,Marketing IG ads,-2500.0,-78.12,THB,expenses_2025.csv,
2025-11-26,expense,Dairy & Pastry,GreenLeaf Pastry,INV1021 Mixed pastries,-3660.0,-114.38,THB,supplier_invoices.csv,paid
2025-11-28,expense,Payroll,Pim,Payroll 2025-11 s001,-19500.0,-609.38,THB,staff_payroll.csv,
2025-11-28,expense,Payroll,Niran,Payroll 2025-11 s002,-18000.0,-562.5,THB,staff_payroll.csv,
2025-11-28,expense,Payroll,Maya,Payroll 2025-11 s003,-18500.0,-578.12,THB,staff_payroll.csv,cash extra 2000
2025-11-28,expense,Payroll,Boom,Payroll 2025-11 s004,-17500.0,-546.88,THB,staff_payroll.csv,
2025-12-01,expense,Dairy & Pastry,,Milk delivery weekly,-4400.0,-137.5,THB,expenses_2025.csv,
2025-12-01,memo,Sales,Lina's headline,Monthly revenue summary 2025-12,1050000,32812.5,THB,monthly_revenue.txt,"Lina's own monthly summary — memo only, not summed"
2025-12-01,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1022 Whole milk (litres),-2800.0,-87.5,THB,supplier_invoices.csv,paid
2025-12-03,expense,Dairy & Pastry,GreenLeaf Pastry,INV1023 Mixed pastries,-3780.0,-118.12,THB,supplier_invoices.csv,paid
2025-12-04,expense,Coffee Beans,,Beans Highland 8kg,-4640.0,-145.0,THB,expenses_2025.csv,
2025-12-05,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-8000.0,-250.0,THB,bank_statement_abc.csv,owner cash withdrawal
2025-12-05,revenue,Sales,Customer,Iced Latte L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,expense,Rent & Utilities,NK Property,Rent,-45000,-1406.25,THB,rent_utilities.txt,
2025-12-05,expense,Coffee Beans,Highland Beans Co.,INV1024 Specialty coffee beans,-5800.0,-181.25,THB,supplier_invoices.csv,paid
2025-12-06,expense,Rent & Utilities,CITY WATER UTIL,CITY WATER UTIL,-9100.0,-284.38,THB,bank_statement_abc.csv,
2025-12-08,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-10000.0,-312.5,THB,bank_statement_abc.csv,owner cash withdrawal
2025-12-08,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1025 Whole milk (litres),-4060.0,-126.88,THB,supplier_invoices.csv,paid
2025-12-10,expense,Other,,Holiday decor,-1800.0,-56.25,THB,expenses_2025.csv,
2025-12-10,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,expense,Dairy & Pastry,GreenLeaf Pastry,INV1026 Mixed pastries,-4080.0,-127.5,THB,supplier_invoices.csv,paid
2025-12-13,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,20630.0,644.69,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-12-15,expense,Dairy & Pastry,,Pastry order,-4500.0,-140.62,THB,expenses_2025.csv,
2025-12-15,expense,Rent & Utilities,City Water,Water,-800,-25.0,THB,rent_utilities.txt,avg
2025-12-15,expense,Rent & Utilities,City Power,Electric,-8400,-262.5,THB,rent_utilities.txt,
2025-12-15,expense,Rent & Utilities,FastNet,Internet,-1290,-40.31,THB,rent_utilities.txt,
2025-12-15,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1027 Whole milk (litres),-4200.0,-131.25,THB,supplier_invoices.csv,paid
2025-12-17,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-5000.0,-156.25,THB,bank_statement_abc.csv,owner cash withdrawal
2025-12-17,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,9279.0,289.97,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-12-17,expense,Dairy & Pastry,GreenLeaf Pastry,INV1028 Mixed pastries,-4200.0,-131.25,THB,supplier_invoices.csv,paid
2025-12-18,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,12270.0,383.44,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-12-18,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-12-18,expense,Coffee Beans,Highland Beans Co.,INV1029 Specialty coffee beans,-4640.0,-145.0,THB,supplier_invoices.csv,paid
2025-12-19,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-15000.0,-468.75,THB,bank_statement_abc.csv,owner cash withdrawal
2025-12-21,revenue,Sales,Customer,Latte M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-21,revenue,Sales,Customer,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-22,expense,Coffee Beans,,Beans Highland 8kg,-4960.0,-155.0,THB,expenses_2025.csv,
2025-12-22,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1030 Whole milk (litres),-3500.0,-109.38,THB,supplier_invoices.csv,paid
2025-12-24,expense,Dairy & Pastry,GreenLeaf Pastry,INV1031 Mixed pastries,-4260.0,-133.12,THB,supplier_invoices.csv,paid
2025-12-25,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,11201.0,350.03,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-12-25,expense,Rent & Utilities,CITY WATER UTIL,CITY WATER UTIL,-9100.0,-284.38,THB,bank_statement_abc.csv,
2025-12-25,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-12-25,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-12-26,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,21390.0,668.44,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-12-28,expense,Other,,Cleaning supplies,-1650.0,-51.56,THB,expenses_2025.csv,
2025-12-28,expense,Payroll,Pim,Payroll 2025-12 s001,-18000.0,-562.5,THB,staff_payroll.csv,
2025-12-28,expense,Payroll,Niran,Payroll 2025-12 s002,-17000.0,-531.25,THB,staff_payroll.csv,
2025-12-28,expense,Payroll,Maya,Payroll 2025-12 s003,-18500.0,-578.12,THB,staff_payroll.csv,cash extra 2000
2025-12-28,expense,Payroll,Boom,Payroll 2025-12 s004,-16500.0,-515.62,THB,staff_payroll.csv,
2025-12-29,expense,Rent & Utilities,CITY POWER ELECTRIC,CITY POWER ELECTRIC,-7200.0,-225.0,THB,bank_statement_abc.csv,
2025-12-29,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,revenue,Sales,Customer,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-29,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1032 Whole milk (litres),-3920.0,-122.5,THB,supplier_invoices.csv,paid
2025-12-31,expense,Dairy & Pastry,GreenLeaf Pastry,INV1033 Mixed pastries,-3900.0,-121.88,THB,supplier_invoices.csv,paid
2026-01-01,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,13071.0,408.47,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2026-01-01,expense,Rent & Utilities,FASTNET INTERNET,FASTNET INTERNET,-8400.0,-262.5,THB,bank_statement_abc.csv,
2026-01-01,memo,Sales,Lina's headline,Monthly revenue summary 2026-01,890000,27812.5,THB,monthly_revenue.txt,"Lina's own monthly summary — memo only, not summed"
2026-01-02,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Iced Latte L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-02,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-03,expense,Coffee Beans,,Beans Highland 8kg,-4960.0,-155.0,THB,expenses_2025.csv,
2026-01-05,expense,Dairy & Pastry,,Milk weekly,-4400.0,-137.5,THB,expenses_2025.csv,
2026-01-05,expense,Rent & Utilities,NK Property,Rent,-45000,-1406.25,THB,rent_utilities.txt,
2026-01-05,expense,Coffee Beans,Highland Beans Co.,INV1034 Specialty coffee beans,-6200.0,-193.75,THB,supplier_invoices.csv,paid
2026-01-05,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1035 Whole milk (litres),-3640.0,-113.75,THB,supplier_invoices.csv,paid
2026-01-06,transfer,Other,TFR 20260106 TRANSFER 0866667788,TFR 20260106 TRANSFER 0866667788,-4500.0,-140.62,THB,bank_statement_abc.csv,outgoing transfer
2026-01-06,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-15000.0,-468.75,THB,bank_statement_abc.csv,owner cash withdrawal
2026-01-07,expense,Dairy & Pastry,GreenLeaf Pastry,INV1036 Mixed pastries,-4140.0,-129.38,THB,supplier_invoices.csv,paid
2026-01-08,expense,Coffee Beans,,Italian Espresso Parts gasket kit,-4640.0,-145.0,USD,expenses_2025.csv,FX 1 USD = 32 THB
2026-01-10,transfer,Other,TFR 20260110 TRANSFER 0866667788,TFR 20260110 TRANSFER 0866667788,-4200.0,-131.25,THB,bank_statement_abc.csv,outgoing transfer
2026-01-10,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,11902.0,371.94,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2026-01-10,expense,Dairy & Pastry,,Pastry order,-4200.0,-131.25,THB,expenses_2025.csv,
2026-01-10,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Iced Latte L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Latte M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2026-01-10,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-11,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-10000.0,-312.5,THB,bank_statement_abc.csv,owner cash withdrawal
2026-01-11,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,24657.0,770.53,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2026-01-12,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1037 Whole milk (litres),-3430.0,-107.19,THB,supplier_invoices.csv,paid
2026-01-13,revenue,Sales,Customer,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-13,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-14,expense,Dairy & Pastry,GreenLeaf Pastry,INV1038 Mixed pastries,-3840.0,-120.0,THB,supplier_invoices.csv,paid
2026-01-15,expense,Other,,Cleaning supplies,-1900.0,-59.38,THB,expenses_2025.csv,
2026-01-15,expense,Rent & Utilities,City Water,Water,-800,-25.0,THB,rent_utilities.txt,avg
2026-01-15,expense,Rent & Utilities,City Power,Electric,-7900,-246.88,THB,rent_utilities.txt,
2026-01-15,expense,Rent & Utilities,FastNet,Internet,-1290,-40.31,THB,rent_utilities.txt,
2026-01-16,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,8173.0,255.41,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2026-01-17,expense,Rent & Utilities,FASTNET INTERNET,FASTNET INTERNET,-7600.0,-237.5,THB,bank_statement_abc.csv,
2026-01-18,expense,Coffee Beans,,Beans Highland 10kg,-6200.0,-193.75,THB,expenses_2025.csv,
2026-01-18,expense,Coffee Beans,Highland Beans Co.,INV1039 Specialty coffee beans,-4960.0,-155.0,THB,supplier_invoices.csv,paid
2026-01-19,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-19,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1040 Whole milk (litres),-4200.0,-131.25,THB,supplier_invoices.csv,paid
2026-01-21,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2026-01-21,expense,Dairy & Pastry,GreenLeaf Pastry,INV1041 Mixed pastries,-4500.0,-140.62,THB,supplier_invoices.csv,paid
2026-01-22,transfer,Other,TFR 20260122 TRANSFER 0817778899,TFR 20260122 TRANSFER 0817778899,-4200.0,-131.25,THB,bank_statement_abc.csv,outgoing transfer
2026-01-22,expense,Other,POS PURCHASE BIGMART 0000123,POS PURCHASE BIGMART 0000123,-1035.0,-32.34,THB,bank_statement_abc.csv,
2026-01-22,expense,Coffee Beans,,Imported beans Ethiopia (Ethiopian Beans Direct),-8960.0,-280.0,USD,expenses_2025.csv,FX 1 USD = 32 THB
2026-01-22,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2026-01-22,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
